!exclamation-point|ʔ e k s k l ɐ m a ʃ o n p o ʔ ɪ n t
"""close-quote"|k l o s e k w o t e
"""double-quote"|d o b l e k o t
"""end-of-quote"|ʔ e n d o f k w o t e
"""end-quote"|ʔ e n d k w o t e
"""in-quotes"|ʔ ɪ ŋ k w o t e s
"""quote"|k x o t e
"""unquote"|ʔ ʊ ŋ k w o t e
#sharp-sign|ʃ ɐ ɾ p s i ɡ n
%percent|p e ɾ s e n t
&ampersand|ʔ ɐ m p e ɾ s a n d
'cause|k x a ʊ̯ s e
'course|k x o ʊ ɾ s e
'em|ʔ e m
'end-inner-quote|ʔ e n d ɪ n e ɾ k w o t e
'end-quote|ʔ e n d k w o t e
'inner-quote|ʔ ɪ n n e ɾ k w o t e
'm|ʔ ə m
'n|ʔ ɐ n
'quote|k x o t e
's|s
'single-quote|s ɪ ŋ ɡ ə l k w o t e
'til|t ɪ l
'tis|t ɪ s
'twas|t w a s
(begin-parens|b e ɰ ɪ n p a ɾ e n s
(in-parentheses|ʔ ɪ n p ɐ ɾ e n θ e s e s
(left-paren|l e f t p ɐ ɾ e n
(open-parentheses|ʔ o p e n p ɐ ɾ e n θ e s e s
(paren|p a ɾ e n
(parens|p ɐ ɾ e n s
(parentheses|p ɐ ɾ e n t h e s e s
)close-paren|k l o s e p a ɾ e n
)close-parentheses|k l o s e p ɐ ɾ e n θ e s e s
)end-paren|ʔ e n d p a ɾ e n
)end-parens|ʔ e n d p ɐ ɾ e n s
)end-parentheses|ʔ e n d p ɐ ɾ e n θ e s e s
)end-the-paren|ʔ e n d θ e p a ɾ e n
)paren|p a ɾ e n
)parens|p ɐ ɾ e n s
)right-paren|ɾ a ɪ̯ t p a ɾ e n
)right-paren(2)|ɾ a ɪ̯ t p a ɾ e n
)un-parentheses|ʔ ʊ n p ɐ ɾ e n θ e s e s
,comma|k x o m m ɐ
-dash|d ɐ ʃ
-hyphen|h ɪ p h e n
...ellipsis|ʔ e l l ɪ p s i s
.decimal|d e s ɪ m a l
.dot|d o t
.full-stop|ʔ f ʊ l s t o p
.period|p e ɾ ɪ o d
.point|p o ʔ ɪ n t
/slash|ʔ s l a ʃ
0malefactors|ʔ ɪ m ɐ l e f a k t o ɾ s
:colon|k x o l o n
;semi-colon|s e m ɪ x o l o n
;semi-colon(2)|s e m i - k o l o n
?question-mark|k x e s t͡ʃ o n m ɐ ɾ k
a's|ʔ ɐ s
a(2)|ʔ ɐ ʔ e ʔ
a.'s|ʔ ɐ
a.s|ʔ ɐ ʔ e s
a42128|ʔ ɐ ʔ ɐ ʔ o s e n k a
aaberg|ʔ ɐ ʔ ɐ b e ɾ ɡ
aaronson's|ʔ ɐ ɐ ɾ o n s o n s
ab(2)|ʔ ɐ b
abaco|ʔ ɐ b a x o
abair|ʔ ɐ b ɐ ʔ i ɾ
abalkin|ʔ ɐ b ɐ l k i n
abate|ʔ ɐ b a t e
abatements|ʔ ɐ b ɐ t e m e n t s
abbasi|ʔ ɐ b b a s ɪ
abbe(2)|ʔ ɐ b b e
abbett|ʔ ɐ b b e t
abbie|ʔ ɐ b b i
abdicated|ʔ ɐ b d ɪ x a t e d
abdomen(2)|ʔ ɐ b d o m e n
abductor(2)|ʔ ɐ b d ʊ k t o ɾ
abedi|ʔ ɐ b e d ɪ
abelard|ʔ ɐ b e l a ɾ d
abels|ʔ ɐ b e l s
aberg|ʔ ɐ b e ɾ ɡ
abernethy|ʔ ɐ b e ɾ n e t h ɪ
abhorred|ʔ ɐ b h o ɾ ɾ e d
abitibi|ʔ ɐ b ɪ t i b ɪ
abject|ʔ ɐ b d͡ʒ e k t
abkhazians|ʔ ɐ b k h ɐ s i ʔ ɐ n s
ablaze|ʔ ɐ b l a s e
abloom|ʔ ɐ b l o ʔ o m
abolition|ʔ ɐ b o l ɪ ʃ o n
abott|ʔ ɐ b o t
abounding|ʔ ɐ b o ʔ ʊ n d i ŋ
abramo|ʔ ɐ b ɾ a m o
abrasion|ʔ ɐ b ɾ ɐ ʃ o n
abreast|ʔ ɐ b ɾ e ɐ s t
abscam|ʔ ɐ b s k a m
absher|ʔ ɐ b s h e ɾ
abso|ʔ ɐ b s o
absorbency|ʔ ɐ b s o ɾ b e n s ɪ
abston|ʔ ɐ b s t o n
abudrahm|ʔ ɐ b ʊ d ɾ a h m
abuse(2)|ʔ ɐ b ʊ s e
academy's|ʔ ɐ x ɐ d e m ɪ s
acceded|ʔ ɐ k s e d e d
accidently|ʔ ɐ k s ɪ d e n t l ɪ
accumulations|ʔ ɐ k u m ʊ l a ʃ o n s
accusation(2)|ʔ ɐ k k ʊ s a ʃ o n
achorn|ʔ ɐ t͡ʃ o ɾ n
ackerly|ʔ ɐ k e ɾ l ɪ
acknowledged(2)|ʔ ɐ k n o l e d͡ʒ e d͡ʒ
acme's|ʔ ɐ k m e s
acquires|ʔ ɐ k w i ɾ e s
acquitting|ʔ ɐ k k ɪ t i ŋ
acton|ʔ ɐ k t o n
acts(2)|ʔ ɐ k t s
actuators|ʔ ɐ k t w ɐ t o ɾ s
addleman|ʔ ɐ d l e m ɐ n
adjustables|ʔ ɐ d͡ʒ ʊ s t a b l e s
admonishment|ʔ ɐ d m o n ɪ s h m e n t
adoptable|ʔ ɐ d o p t a b l e
adroit|ʔ ɐ d ɾ o ʔ ɪ t
advantaged(3)|ʔ ɐ d b ɐ n t a ɰ e d͡ʒ e d
advisedly|ʔ ɐ d b ɪ s e d l ɪ
aegerter|ʔ ɐ ʔ e ɰ e ɾ t e ɾ
aerobatics|ʔ ɐ ʔ e ɾ o b a t ɪ k s
aeronautic|ʔ ɐ ʔ e ɾ o n a ʊ̯ t ɪ k
affiliate's|ʔ ɐ f ɪ l j a t e s
aggarwal|ʔ ɐ ɡ ɡ ɐ ɾ w a l
aggress|ʔ ɐ ɡ ɡ ɾ e s s
agonized|ʔ ɐ ɰ o n i s e d
agouron|ʔ ɐ ɰ o ʊ ɾ o n
agrawal|ʔ ɐ ɡ ɾ a w ɐ l
agrico|ʔ ɐ ɡ ɾ i x o
agronomists|ʔ ɐ ɡ ɾ o n o m ɪ s t s
ahlin|ʔ ɐ h l i n
ahs|ʔ ɐ h s
aidid's|ʔ ɐ ʔ ɪ d i d s
airborne's|ʔ a ɪ̯ ɾ b o ɾ n e s
airflow|ʔ a ɪ̯ r f l o ʊ̯
airman's|ʔ ɐ ʔ ɪ ɾ m a n s
aithne|ʔ ɐ ʔ ɪ θ n e
akaka|ʔ ɐ x a k ɐ
akard|ʔ ɐ x a ɾ d
alamoudi|ʔ ɐ l ɐ m o ʔ u d ɪ
alberding|ʔ ɐ l b e ɾ d ɪ ŋ
alcove|ʔ ɐ l k o b e
aldys|ʔ ɐ l d ɪ s
aley|ʔ a l e ɪ̯
alfonsin|ʔ ɐ l f o n s i n
algebraic|ʔ ɐ l ɡ e b ɾ a ɪ̯ k
alicea|ʔ ɐ l ɪ s e ɐ
alkalies|ʔ ɐ l k a l ɪ e s
allderdice|ʔ ɐ l l d e ɾ d i s e
alleles|ʔ ɐ l l e l e s
allinson|ʔ ɐ l l ɪ n s o n
allocco|ʔ ɐ l l o k o
allots|ʔ ɐ l l o t͡s
ally(2)|ʔ ɐ l l ɪ
alman|ʔ ɐ l m a n
almasy|ʔ ɐ l m a s ɪ
alphabetize|ʔ ɐ l p h ɐ b e t i s e
alspach|ʔ ɐ l s p a x
alums|ʔ ɐ l u m s
alvardo|ʔ ɐ l b a ɾ d o
alvis|ʔ ɐ l b i s
am's(2)|ʔ ɐ m s
amalgamated's|ʔ ɐ m ɐ l ɡ ɐ m ɐ t e d s
amazement|ʔ ɐ m ɐ s e m e n t
ambler|ʔ ɐ m b l e ɾ
amca|ʔ ɐ m k a
ameline|ʔ ɐ m e l i n e
americus|ʔ ɐ m e ɾ i x ʊ s
amerongen|ʔ ɐ m e ɾ o ŋ e n
amilia|ʔ ɐ m i l j ɐ
amiot|ʔ ɐ m ɪ o t
amphitheaters|ʔ ɐ m p h ɪ t h e ɐ t e ɾ s
amplifying|ʔ ɐ m p l ɪ f j i ŋ
amre|ʔ ɐ m ɾ e
anachronism|ʔ ɐ n ɐ k ɾ o n i s m
anantha|ʔ ɐ n ɐ n t h a ʔ
anast|ʔ a n ɐ s t
andreotti(2)|ʔ ɐ n d ɾ e o t i
anesthetics|ʔ ɐ n e s t h e t ɪ k s
angelone|ʔ ɐ ŋ e l o n e
anitole|ʔ ɐ n ɪ t o l e
anker|ʔ ɐ ŋ k e ɾ
annihilated|ʔ ɐ n n ɪ h ɪ l a t e d
ansbacher|ʔ ɐ n s b ɐ t͡ʃ e ɾ
anstice|ʔ ɐ n s t i s e
antagonizing|ʔ ɐ n t ɐ ɰ o n i s ɪ ŋ
anted|ʔ ɐ n t e d
anti-federalist|ʔ ɐ n t ɪ f e d e ɾ a l ɪ s t
antilla|ʔ ɐ n t i l j ɐ
anxiously|ʔ ɐ ŋ ʃ o ʊ̯ s l i
apiece|ʔ ɐ p j e s e
appetito|ʔ ɐ p e t i t o
appraising|ʔ ɐ p ɾ a ɪ̯ s ɪ ŋ
arapaho|ʔ ɐ ɾ ɐ p a h o
arbitron(2)|ʔ ɐ ɾ b ɪ t ɾ o n
archaic|ʔ ɐ ɾ t͡ʃ a ɪ̯ k
ardolino|ʔ ɐ ɾ d o l i n o
argot|ʔ ɐ ɾ ɡ o t
arianism|ʔ ɐ ɾ j ɐ n i s m
arithmetic(2)|ʔ ɐ ɾ ɪ θ m e t ɪ k
arkose|ʔ ɐ ɾ k o s e
armco|ʔ ɐ ɾ m k o
arment|ʔ ɐ ɾ m e n t
armina|ʔ ɐ ɾ m i n ɐ
army's|ʔ ɐ ɾ m i s
arnesen|ʔ ɐ ɾ n e s e n
arnot|ʔ ɐ ɾ n o t
arruda|ʔ ɐ ɾ u d ɐ
arvel|ʔ ɐ ɾ b e l
arx|ʔ a ɾ k s
ascribes|ʔ ɐ s k ɾ i b e s
asplund|ʔ ɐ s p l u n d
assails|ʔ ɐ s a ɪ̯ l s
asserts|ʔ ɐ s e ɾ t͡s
assimilating|ʔ ɐ s ɪ m ɪ l a t ɪ ŋ
associates(3)|ʔ ɐ s o ʃ ɐ t e s
assuras|ʔ ɐ s u ɾ ɐ s
ater|ʔ ɐ t e ɾ
athearn|ʔ ɐ t h e ɐ ɾ n
athie|ʔ ɐ t h i ʔ e
attebery|ʔ ɐ t e b e ɾ ɪ
attermann|ʔ ɐ t e ɾ m a n n
attracting|ʔ ɐ t ɾ a k t ɪ ŋ
aucoin|ʔ a ʊ̯ x o ʔ ɪ n
audience(2)|ʔ a ʊ̯ d͡ʒ e n s e
aurand|ʔ ɐ ʔ ʊ ɾ a n d
authentic(3)|ʔ a ʊ̯ t h e n t ɪ k
automatics|ʔ a ʊ̯ t o m a t ɪ k s
avarice|ʔ ɐ b ɐ ɾ i s e
aver|ʔ ɐ b e ɾ
aversa|ʔ ɐ b e ɾ s ɐ
avions|ʔ ɐ b ɪ o n s
avoids|ʔ ɐ b o ɪ̯ d s
axilrod|ʔ ɐ k s ɪ l ɾ o d
aydelott|ʔ a ɪ̯ d e l o t
aztar|ʔ ɐ s t a ɾ
azzaro|ʔ ɐ s e s a ɾ o
babs|b ɐ b s
bache(2)|b ɐ t͡ʃ e ʔ
backe|b ɐ k e
backhanded|b ɐ k h ɐ n d e d
bacot|b ɐ x o t
badavatz|b ɐ d ɐ b a t͡s
baggett|b ɐ ɡː e t t
bahrainian(2)|b ɐ h ɾ ɐ ʔ i n j ɐ n
bailard|b ɐ ʔ ɪ l a ɾ d
bainerd|b ɐ ʔ ɪ n e ɾ d
baited|b ɐ ʔ ɪ t e d
bakke|b ɐ k e
balder|b ɐ l d e ɾ
baldor|b ɐ l d o ɾ
balestra|b ɐ l e s t ɾ ɐ
balkin|b ɐ l k i n
baltierra|b ɐ l t͡ʃ e ɾ ɐ
banctec|b ɐ ŋ k t e k
bander|b ɐ n d e ɾ
banfield|b ɐ ɱ f i e l d
bangert|b ɐ ŋ e ɾ t
bankworcester(2)|b ɐ ŋ k w ʊ ɾ s e s t e ɾ
barahona|b ɐ ɾ ɐ h o n ɐ
barkai|b ɐ ɾ k a ʔ ɪ
barlage|b ɐ ɾ l a ɰ e
barnwell|b ɐ ɾ n w e l l
baroni|b ɐ ɾ o n ɪ
barraco|b ɐ ɾ a x o
barreled|b ɐ ɾ e l e d
barricades(2)|b ɐ ɾ ɪ x a d e s
barrister(2)|b ɐ ɾ i s t e ɾ
barry's(2)|b ɐ ɾ ɾ ɪ s s e
bartoszek|b ɐ ɾ t o s e k
basich|b a s ɪ h
basulto|b ɐ s u l t o
batterman|b ɐ t e ɾ m ɐ n
bauch|b a ʊ̯ x
baughman|b a ʊ̯ ɡ h m a n
baumgardt(2)|b a ʊ̯ m ɡ ɐ ɾ d t
bausman|b a ʔ ʊ s m a n
bax|b ɐ k s
bayman|b a ɪ̯ m a n
beachem|b e ɐ x e m
beagles|b e ɐ ɡ l e s
beatings|b e ɐ t i ŋ s
beber|b e b e ɾ
beckert|b e k e ɾ t
beckworth's|b e k w ɔ ɾ θ s
bednar|b e d n a ɾ
beefsteak|b e ʔ e f s t e ɐ k
before(2)|b e f o ɾ e ʔ
beggars|b e ɡ ɡ ɐ ɾ s
beguelin|b e ɰ e l ɪ n
behmer|b e h m e ɾ
beim|b e ʔ ɪ m
beitel|b e ɪ̯ t e l
bekki|b e k k ɪ
